Parameter,Mean,SD,pct2_5,Median,pct97_5,Rhat,ESS
phi_01,0.8487555329783196,0.13766613154120624,0.5184328703871409,0.8886556639131626,0.9972923901994865,1.0008163060971988,1515
phi_12,0.18618600926214698,0.05591964346913227,0.09690419429469868,0.17969278322296056,0.3149721765883034,1.0002620559281992,1336
p_oct,0.04262982509726271,0.01828601803297718,0.0144010782365173,0.04033728566641768,0.08469689117342422,1.000307471969089,1426
p_nov,0.04336090078568406,0.009154421525931336,0.02782284117199809,0.04250934596950969,0.0636992020924355,1.0004615815051072,1330
p_feb,0.10837191587065591,0.021058477881576512,0.07075612590391309,0.10725303058766812,0.15264321005458575,1.0004221487719678,1413
pd_oct,0.15810162416871718,0.06285069571606419,0.0563718702279723,0.1518464461682581,0.298125038432726,1.000297910201397,1412
pd_nov,0.19807058115589665,0.03797595260338758,0.13158550092103705,0.19522825945749755,0.28042350702058205,1.0004571646801048,1326
pd_feb,0.43334611377059695,0.0658829952418046,0.30713514320280905,0.43292314397452414,0.5631507753512616,1.000394924208975,1400
N_oct,518.1197319514595,281.6069795203552,228.0922141116757,447.82082011845716,1206.275394536364,1.0000810187527136,1343
N_nov,754.6028419603186,149.63964243778696,513.5090190189759,737.5981346150849,1094.3454939341132,1.00039684604243,1320
N_feb,205.69959901715777,33.29539476137564,154.4879343293709,200.95945714817134,283.2629282734589,1.0003200497005627,1382
